UID,Source_Name,ra,dec,bestLum,Vsys_in_km_per_s,Lum_2020,objClass_sym,objClass_int,lum_from_2018_paper,Dist_from_2018_paper,Name_in_2018_paper_db
36,J0350-0127,57.50146,-1.466028,3870,12376,3870,D?,4,0,0,null
37,J0414+0534,63.65738,5.578444,10000,z=2.64,10000,?,0,0,0,null
38,J0437+2456,69.26529,24.93522,178,4835,178,D,5,0,0,null
39,J0437+6637,69.28442,66.62842,20,3770,20,D?,4,20,53.9,2MASXJ04370825+6637424
40,IRAS+04385-0828,70.22904,-8.372833,43,4527,43,?,0,43,64.7,IRAS04385-0828
41,UGC_3157,71.624,18.46092,85,4619,?,?,0,85,66,UGC3157
42,UGC_3193,73.21958,3.056667,270,4454,270,?,0,270,63.6,UGC3193
43,Mrk_1089,75.40733,-4.257889,15,4019,15,?,0,15,57.4,Mrk1089
44,CGCG468-002_Ned01,77.08204,17.36336,35,5248,35,?,0,35,75,CGCG468-002
45,UGC+3255,77.45917,7.483333,16,5669,16,?,0,16,81,UGC3255
46,LMC,80.89167,-69.75611,0,278,?,SF,1,0,0,null
47,UGCA_116,88.92763,3.392167,3,789,3,SF?,1,3,11.3,UGCA116
48,Mrk_3,93.90125,71.0375,10,4050,10,?,0,10,57.9,Mrk3
49,NGC_2146,94.6525,78.35778,1,900,1,SF,1,1,12.8,NGC2146
50,VII_Zw 073,97.60667,63.67805,137,11899,?,?,0,137,177,VIIZw073
51,NGC_2273,102.5362,60.84583,32,1840,32,D,5,32,26.3,NGC2273
52,ESO558-G009,106.0876,-21.58867,766,7674,766,D,5,766,109.6,ESO558-G009
53,UGC_3789,109.8817,59.35583,370,3243,370,D,5,370,47.5,UGC3789
54,NGC_2410,113.7592,32.82222,14,4681,14,?,0,14,64.2,NGC2410
55,Mrk_78,115.6738,65.17694,32,11137,32,?,0,32,159.1,Mrk78
56,IC_485,120.0824,26.70144,1060,8338,1060,D?,4,1060,119.1,IC485
57,Mrk_1210,121.0242,5.113889,80,4046,80,D?,4,80,57.8,Mrk1210
58,J0804+3607,121.1292,36.12167,23000,z=0.66,23000,?,0,0,0,null
59,He_2-10,129.0638,-26.40833,0.7,?,0.7,SF,1,0.7,12.5,He2-10
60,J0836+3327,129.095,33.46083,800,14810,800,D?,4,800,211.6,2MASXJ08362280+3327383
61,NGC 2639,130.9088,50.20555,25,3336,25,?,0,25,47.7,NGC2639
62,J0847-0022,131.9487,-0.3809444,2210,15275,?,?,0,2210,218.2,2MASXJ08474769-0022514
63,CGCG120-039,132.3087,23.38028,154,7684,?,?,0,154,109.8,CGCG120-039
64,J0905+0328,136.3755,3.473,132,8424,?,?,0,132,120.3,2MASXJ09053008+0328232
65,NGC_2781,137.8647,-14.81683,14,2053,14,?,0,14,29.3,NGC2781
66,J0912+2304,138.1933,23.07425,143,10889,143,?,0,143,155.6,2MASXJ09124641+2304273
67,NGC_2782,138.5213,40.11361,13,2562,13,SF,1,13,36.6,NGC2782
68,NGC_2785,138.8142,40.91753,14,2622,?,?,0,14,29.3,NGC2781
69,NGC_2824,139.7592,26.27,500,2760,500,?,0,500,39.4,NGC2824
70,SBS0927+493,142.7779,49.07972,280,10240,?,?,0,280,146.3,SBS0927+493
71,UGC_5101,143.965,61.35305,1900,11809,1900,?,0,1900,168.6,UGC5101
72,Mrk_1419,145.1517,3.576944,400,4932,400,D,5,400,70.5,Mrk1419
73,NGC_2979,145.7858,-10.38333,125,2720,125,?,0,125,38.9,NGC2979
74,NGC_2989,146.3575,-18.37667,40,4172,40,?,0,40,59.2,NGC2989
75,M_82,148.9675,69.67973,200,200,1,SF,1,200,3.7,M82
76,NGC_3081,149.8729,-22.82639,17,2391,17,?,0,17,33.8,NGC3081
77,NGC_3079,150.4908,55.67972,500,1125,500,?,0,500,16.1,NGC3079
78,J1011-1926,152.9608,-19.44553,371,8058,371,?,0,371,115.1,2MASXJ10115058-1926436
79,NGC_3160,153.4795,38.84283,46,6920,46,?,0,46,97.9,NGC3160
80,IC_2560,154.0779,-33.56389,100,2925,100,D,5,100,41.4,IC2560
81,J1020-0010,155.2481,-0.1760833,65,16779,?,?,0,65,239.7,2MASXJ10205956-0010342
82,NGC_3256,156.9637,-43.90389,10,2804,10,SF?,1,10,40.1,NGC3256
83,J1028+1046,157.0119,10.77533,1135,13424,1135,?,0,0,0,null
84,UGC_5713,157.912,25.98397,237,6312,237,?,0,237,90.2,UGC5713
85,Mrk_34,158.5358,60.03111,1000,15140,1000,?,0,400,64.4,Mrk348
86,NGC_3359,161.6533,63.22361,0.7,1014,0.7,?,0,0.7,14.5,NGC3359
87,NGC_3393,162.0975,-25.16195,320,3750,320,D,5,320,53.6,NGC3393
88,UGC_6093,165.1998,10.72814,770,10828,770,D,5,770,154.7,UGC6093
89,J1103-0052,165.9098,-0.8690278,26,8584,26,?,0,26,122.6,2MASXJ11033836-0052081
90,J1109+2837,167.3881,28.62764,36,11422,36,?,0,36,162.3,2MASXJ11093314+2837393
91,NGC_3556,167.8792,55.67417,1,699,1,?,0,1,10,NGC3556
92,NGC_3620,169.0196,-76.21639,4,1680,4,SF?,1,4,24,NGC3620
93,CGCG_185-028,169.2505,32.59739,550,10455,550,?,0,550,149.4,CGCG185-028
94,NGC_3614,169.5888,45.74822,3,2333,3,?,0,3,33.3,NGC3614
95,Arp_299,172.1329,58.5625,125,3121,125,?,0,125,44.1,Arp299
96,NGC_3735,173.9888,70.53584,20,2696,20,?,0,20,38.5,NGC3735
97,CGCG_068-013,174.5334,11.19639,92,10707,92,?,0,92,152.9,CGCG068-013
98,NGC_3783,174.7571,-37.73861,22,2917,22,?,0,22,41.7,NGC3783
99,CGCG_268-089,177.4404,50.52694,149,7924,149,?,0,149,113.2,CGCG268-089
100,IC_750,179.7175,42.72253,0,704,?,?,0,0,0,null
101,NGC_4038/39,180.4792,-18.88278,8,?,8,SF,1,8,23.5,NGC4038/39
102,J1202+3519,180.5193,35.32169,520,10201,520,?,0,520,146,2MASXJ12020465+3519173
103,UGC_7016,180.5999,14.84364,22,7271,22,?,0,22,103.9,UGC7016
104,NGC_4051,180.79,44.53139,2,700,2,?,0,2,10,NGC4051
105,NGC_4151,182.6358,39.40583,0.6,995,0.6,?,0,0.6,14.2,NGC4151
106,NGC_4194,183.5396,54.52694,12,2501,12,?,0,12,35.7,NGC4194
107,NGC_4214,183.9133,36.32778,0.03,?,0.03,SF,1,0.03,4.2,NGC4214
108,NGC_4253,184.6105,29.81286,9,3876,9,?,0,9,55.4,NGC4253
109,NGC_4258,184.7396,47.30389,80,448,80,D,5,80,7.2,NGC4258
110,NGC_4261,184.8467,5.825278,40,2238,?,?,0,40,32,NGC4261
111,NGC_4293,185.3038,18.3825,1,890,1,?,0,1,12.7,NGC4293
112,NGC_4388,186.4446,12.66222,12,2524,12,D,5,12,36.1,NGC4388
113,NGC_4527,188.5354,2.653805,4,1736,4,?,0,4,24.8,NGC4527
114,NGC_4633,190.6558,14.35722,0.06,291,0.06,?,0,0.06,22.6,NGC4633
115,J1255-0804,193.9994,-8.076,266,4003,226,?,0,266,57.3,2MASXJ12555984-0804329
116,ESO_269-G012,194.1687,-46.92611,1000,4950,1000,D?,4,1000,71.6,ESO269-G012
117,NGC_4922,195.355,29.31389,200,7056,200,?,0,200,100.8,NGC4922B
118,NGC_4945,196.3646,-49.46833,50,560,50,D+,4,50,8,NGC4945
119,NGC_4968,196.7749,-23.67703,53,2957,53,?,0,53,42.2,NGC4968
120,NGC_5077,199.8821,-12.65694,71,2806,?,?,0,71,40.1,NGC5077
121,NGC_5128,201.365,-43.01917,1,547,?,?,0,1,7.8,NGC5128
122,M_51,202.4696,47.19528,0.6,463,0.6,?,0,0.6,7.8,M51
123,NGC_5256,204.5717,48.27555,32,8419,32,?,0,32,120.3,NGC5256
124,NGC_5253,204.9825,-31.63889,1,?,0.02,SF,1,1,3.5,NGC5253
125,J1346+5228,206.67,52.47692,379,8763,379,D?,4,0,0,null
126,NGC_5347,208.3242,33.49083,32,2335,32,?,0,32,33.4,NGC5347
127,J1355+0553,208.8996,5.884639,86,11762,86,?,0,86,168,2MASXJ13553592+0553050
128,MCG+11-17-010,209.1196,64.62861,34,9456,34,?,0,34,137,MCG+11-17-010
129,J1356+6937,209.1975,69.62,397,10522,?,?,0,397,150.3,2MASXJ13564736+6937117
130,CGCG_074-064,210.7686,8.9475,0,6886,?,?,0,0,0,null
131,ESO_446-G018,212.1595,-29.57203,183,4771,183,?,0,183,68.2,ESO446-G018
132,UGC_9077,212.7312,39.77214,17,5630,?,?,0,17,80.4,UGC9077
133,NGC_5495,213.0971,-27.10806,600,6737,600,D,5,600,96.2,NGC5495
134,Circinus,213.2888,-65.33916,20,450,20,D+,4,20,4.2,Circinus
135,NGC_5506,213.3117,-3.2075,50,1853,50,?,0,50,26.5,NGC5506
136,MCG-02-37-004,216.5513,-11.90472,329,12439,?,?,0,329,177.7,MCG-02-37-004
137,NGC_5643,218.17,-44.17472,25,1199,25,?,0,25,17.1,NGC5643
138,NGC_5691,219.4721,-0.3988889,4,1870,4,SF,1,4,26.7,NGC5691
139,NGC_5728,220.5996,-17.25306,80,2788,80,?,0,80,40,NGC5728
140,CGCG_164-019,221.4033,27.03472,30,8963,30,?,0,30,128,CGCG164-019
141,NGC_5765b,222.7146,5.114444,2277,8333,?,D,5,2277,119,NGC5765
142,UGC_9618B,224.2529,24.6175,400,10094,400,D?,4,400,144.2,UGC9618
143,UGC_9639,224.65,44.88361,444,10802,444,D?,4,444,154.3,UGC9639
144,NGC_5793,224.8529,-16.69333,200,3491,200,?,0,200,49.9,NGC5793
145,J1505+0809,226.3247,8.153611,0,11760,?,?,0,0,0,null
146,CGCG165-035,228.6658,26.59417,550,9649,?,?,0,550,149.4,CGCG185-028
147,J1520+5253,230.082,52.89908,44,11166,44,?,0,44,159.2,2MASXJ15201964+5253560
148,Arp_220,233.7383,23.50306,0,5434,?,?,0,0,0,null
149,UGC_9954,234.8196,24.455,30,10310,30,?,0,30,147.4,UGC9954
150,IRAS_15480-0344,237.6729,-3.888333,211,9084,211,?,0,0,0,null
151,J1600+1545,240.0743,15.75653,0,4996,?,?,0,0,0,null
152,J1607+0106,241.7664,1.108139,6,8216,6,?,0,6,116.7,2MASXJ16070391+0106296
153,J1630+3923,247.6358,39.38417,0,9161,?,?,0,0,0,null
154,CGCG_168-018,247.6705,30.48878,192,11015,192,?,0,192,157.4,CGCG168-018
155,IGR_J16385-2057,249.6288,-20.92333,10,8064,10,?,0,0,0,null
156,NGC_6240,253.2454,2.400833,40,7465,40,?,0,40,104.8,NGC6240
157,NGC_6264,254.3171,27.84972,2100,10177,2100,D,5,2100,145.4,NGC6264
158,J1658+3923,254.5646,39.39139,672,10290,672,?,0,0,0,null
159,J1710+1344,257.5754,13.735,69,9448,69,?,0,69,135,2MASXJ17101815+1344058
160,NGC_6323,258.325,43.78222,500,7772,500,D,5,500,111,NGC6323
161,NGC_6300,259.2479,-62.82056,3,1110,3,?,0,3,15.8,NGC6300
162,CGCG_252-044,260.1233,50.37714,110,7360,?,?,0,110,105.1,CGCG252-044
163,CGCG_170-022,260.7357,31.34197,550,4543,?,?,0,550,149.4,CGCG185-028
164,J1754+3253,268.6225,32.88722,0,7798,?,?,0,0,0,null
165,ESO_103-G35,279.5846,-65.42834,400,3985,400,?,0,400,56.9,ESO103-G35
166,J1939-0124,294.9121,-1.409167,160,6188,160,D?,4,160,88.4,2MASXJ19393889-0124328
167,3C403,298.0658,2.506667,2000,17690,2000,J,2,2000,252.7,3C403
168,NGC_6926,308.2754,-2.0275,500,5970,500,?,0,500,85.3,NGC6926
169,J2057+1707,314.3496,17.1275,0,10822,?,?,0,0,0,null
170,UGC_11685,317.2975,-1.798583,80,5872,80,?,0,80,83.9,UGC11685
171,IC_1361,317.8712,5.054333,35,3962,35,?,0,35,56.6,IC1361
172,J2144+1534,326.2387,15.58056,189,9138,189,?,0,189,130.5,2MASXJ21445731+1534503
173,J2201-3746,330.3213,-37.77333,0,9661,?,?,0,0,0,null
174,TXS_2226-184,337.3021,-18.17972,6300,7495,6300,?,0,6300,107.1,TXS2226-184
175,UGC_12149,340.2817,32.16989,0,7317,?,?,0,0,0,null
176,NGC_7479,346.2361,12.32289,19,2381,19,?,0,19,34,NGC7479
177,IC_1481,349.8546,5.906111,320,6120,320,?,0,320,87.4,IC1481
178,MCG+05-55-041,354.3185,31.80072,93,9356,93,?,0,93,133.7,MCG+05-55-041
179,NGC_7738,356.0083,0.5166667,468,6762,468,?,0,20,38.5,NGC3735
180,CGCG498-038,358.9342,30.21222,268,9240,268,?,0,268,132,CGCG498-038
